transaction_id,price,date_of_transfer,postcode,property_type,new_build,tenure,address,locality,town_city,district,county,ppd_category_type,record_status
{D0843B88-1734-4E7F-8116-532D405F7792},207500,2015-06-15 00:00,M41 6FH,S,N,F,39,,TINTERN AVENUE,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{FAE3ED31-F652-4D97-A724-A5DC0F596C66},128000,2015-03-31 00:00,M41 8RA,S,N,F,21,,TANHOUSE ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{FD0A6E5C-CAE2-4E1A-A489-56C663448C58},128500,2015-06-16 00:00,M41 0XZ,T,N,F,30,,GLADSTONE ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{3A52DC53-1007-4F1F-84DF-B40FB5B779A7},222000,2015-05-01 00:00,M41 6ED,S,N,F,9,,MINEHEAD AVENUE,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{241A4A53-B720-706B-E050-A8C06205638B},108000,2015-10-23 00:00,M41 5GS,F,N,L,BRENTWOOD HOUSE,FLAT 13,FLIXTON ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{241A4A53-B362-706B-E050-A8C06205638B},161000,2015-10-09 00:00,M41 8TF,S,N,F,10,,BRIDLE CLOSE,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{241A4A53-B790-706B-E050-A8C06205638B},215000,2015-10-09 00:00,M41 6FF,S,N,F,40,,SNOWDEN AVENUE,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{BF3F5BDC-F726-489F-8662-5387C83640A3},129995,2015-06-15 00:00,M41 0UF,F,N,L,HAZELWOOD COURT,FLAT 2,DERBY ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{241A4A53-B1BD-706B-E050-A8C06205638B},250000,2015-10-23 00:00,M41 9LN,S,N,F,12,,ELM GROVE,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{288DCE29-1752-E510-E050-A8C06205480E},136500,2015-12-16 00:00,M41 9BL,T,N,L,9,,POPLAR GROVE,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{288DCE29-195B-E510-E050-A8C06205480E},205000,2015-11-18 00:00,M41 8DG,S,N,F,14,,BINGLEY DRIVE,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{288DCE29-1B71-E510-E050-A8C06205480E},75000,2015-12-11 00:00,M41 9LL,F,N,L,5,FLAT 8,LODGE AVENUE,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{288DCE29-1B77-E510-E050-A8C06205480E},140000,2015-11-12 00:00,M41 7WE,T,N,F,67,,WELWYN CLOSE,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
